BCL6-HDAC4 complex;BCL6,HDAC4
AP2 adaptor complex;Ap2a2,Ap2s1,AP2B1,Ap2m1
DNA polymerase alpha-primase complex;Prim1,Pola1,Prim2,Pola2
RGS7-Gbeta5-Galphaq complex;RGS7,Gnaq,Gnb5
DNMT3B complex;SMARCA5,KIF4A,SMC2,HDAC1,SIN3A,SMC4,DNMT3B
RAB5-RABAPTIN5\u2013RABEX5 complex;RAB5A,RABEP1,RABGEF1
CCT complex (chaperonin containing TCP1 complex);CCT7,CCT4,TCP1,CCT6A,CCT3,CCT5,CCT2,CCT8
Gbeta5-rgs7 complex;Rgs7,Gnb5
SIN3 complex;SAP18,SAP30,RBBP4,HDAC1,RBBP7,HDAC2,SIN3A
HDAC4-ERK1 complex;MAPK3,HDAC4
Elongin (SIII) complex;Tceb2,Tceb1,Tceb3
HDAC4-ERK2 complex;MAPK1,HDAC4
SMRT complex;HDAC3,TBL1X,GPS2,TBL1XR1,NCOR2
AP3 adaptor complex;AP3B1,AP3D1,AP3M2,AP3S2,AP3B2,AP3S1,AP3M1
Interferon-stimulated gene factor 3 transcription complex ISGF3;STAT1,STAT2,IRF9
Mi2/NuRD complex;MTA2,MBD3,RBBP4,HDAC1,CHD4,RBBP7,HDAC2
MeCP1 complex;MTA2,MBD3,RBBP4,HDAC1,CHD4,RBBP7,GATAD2B,HDAC2,MBD2
Cohesin-SA1 complex;RAD21,SMC1A,STAG1,SMC3
Cohesin-SA2 complex;RAD21,SMC1A,STAG2,SMC3
Multiprotein trafficking complex;Apba1,Kcnj12,Dlg1,Cask,Lin7c
TRAP complex;MED14,MED24,MED6,THRA,CCNC,MED21,MED1,MED27,MED12,MED10,MED4,MED17,MED13,THRAP3,MED16,MED31
AP4 adaptor complex;AP4M1,AP4E1,AP4S1,AP4B1
BCDX2 complex;RAD51B,RAD51C,XRCC2,RAD51D
ApoB mRNA editing enzyme complex;Apobec1,A1cf,Khsrp
CLIC4 complex;Ckb,Dnm2,Actb,Ywhae,Ywhaz,Tuba1a,Clic4
MRN complex (MRE11-RAD50-NBN complex);NBN,MRE11A,RAD50
R/M complex (RAD50-MRE11 complex);MRE11A,RAD50
HOMER3-IP3R-TRPC1 complex;TRPC1,ITPR3,HOMER3
TSC1-TSC2 complex;TSC2,TSC1
Dynein complex;DYNC1I1,DYNLL1,DYNC1H1,DYNC1LI1
nNos-Capon-Dexras1 complex;Nos1ap,Nos1,Rasd1
nNos-Capon-Syn1 complex;Nos1ap,Syn1,Nos1
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1);RBX1,SKP1,SKP2,CUL1
Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1);RBX1,SKP1,CUL7,FBXW8
Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1);Cul2,Tceb2,Tceb1,Rbx1,Vhl
STMN4-Tubulin complex;TUBB1,TUBA4A,STMN4
Nucleic acid channel complex;Mdh1,Nup58
STMN1-Tubulin complex;TUBB1,TUBA4A,STMN1
NUMAC complex (nucleosomal methylation activator complex);ARID1A,SMARCA4,ACTB,SMARCB1,CARM1,SMARCC2,SMARCC1,SMARCE1,SMARCD1,SCYL1
Nup 107-160 subcomplex;NUP98,SEC13,NUP107,NUP160,NUP43,NUP37,NUP133,SEH1L,NUP85
SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b);Gosr2,Stx5,Sec22b,Bet1,Gosr1,Scfd1
Exocyst Sec6/8 complex;EXOC5,EXOC3,EXOC8,EXOC6,EXOC4,EXOC2,EXOC1,EXOC7
FA complex (Fanconi anemia complex), cytoplasmic;FANCG,FANCA,FANCC,FANCF
CD28-transactivation complex;CD28,NCL
Anaphase-promoting complex;Anapc1,Ccdc27,Cdc23,Anapc5,Anapc2,Anapc10,Cdc16,Anapc4,Anapc7
SNF2H-BAZ1A complex;SMARCA5,BAZ1A
Ku antigen-NARG1 complex;XRCC6,XRCC5,NAA15
p300-MDM2-p53 protein complex;TP53,MDM2,EP300
hNURF complex;SMARCA1,RBBP4,BPTF,RBBP7
Nucleolar remodeling complex (NoRC complex);SMARCA5,BAZ2A
Meiotic cohesin complex;Sycp3,Rec8,Smc1b,Smc3
RNA polymerase II holoenzyme complex;POLR2D,GTF2F2,ERCC2,POLR2C,POLR2E,ERCC3,TBP,POLR2A,GTF2E1,GTF2E2,POLR2B,GTF2H1,GTF2F1,POLR2I,POLR2H,POLR2J,POLR2K,POLR2F,POLR2G,POLR2L,GTF2B,GTF2H2,GTF2H3,GTF2H4
RNA polymerase II core complex;POLR2D,POLR2C,POLR2E,POLR2A,POLR2B,POLR2I,POLR2H,POLR2J,POLR2K,POLR2F,POLR2G,POLR2L
Polycomb repressive complex 2 (PRC 2);EED,RBBP4,SUZ12,EZH2,RBBP7
Srf-myogenin-E12 complex;Myog,Tcf3,Srf
TFIIH transcription factor complex;ERCC2,ERCC3,GTF2H1,CDK7,CCNH,MNAT1,GTF2H2,GTF2H3,GTF2H4
Fertilin complex (Adam1b, Adam2);Adam2,Adam1b
SNAPc (small nuclear RNA-activating protein) complex;SNAPC5,SNAPC2,SNAPC1,SNAPC4,SNAPC3
Polycomb repressive complex 1 (PRC1, hPRC-H);CBX4,SMARCA5,HSPA1A,YY1,BMI1,PHC1,RING1,CBX2,PHC2,PHC3,SCMH1,RNF2,CBX8
GPR56-CD81-Galpha(q/11)-Gbeta complex;GNA11,GNAQ,CD81,GNB1,ADGRG1
GPI-GnT activity complex;PIGA,PIGH,PIGC,PIGQ
Lymphotoxin beta receptor complex;LTA,LTBR,LTB
MCM complex;MCM3,MCM4,MCM5,MCM7,MCM2,MCM6
Rnase/Mrp complex;POP7,RPP40,RPP14,POP4,RPP38,RPP30,POP5,POP1,RPP25,RPP21
RGS9-GNB5-GNAT1-R9AP complex;GNB5,RGS9,GNAT1,RGS9BP
NDC80 kinetochore complex;NDC80,SPC24,NUF2,SPC25
ORC complex (origin recognition complex);ORC5,ORC4,ORC1,ORC2,ORC3,ORC6
PIDDsome complex;CASP2,CRADD,PIDD1
Gamma-secretase complex (Aph1a, Psen1, Psenen, Ncstn);Psen1,Ncstn,Aph1a,Psenen
Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta;Sgcd,Sgcg,Sgcb,Sgca
Troponin complex;TNNC2,TNNT3,TNNI2
Telomere-associated protein complex;TERF1,TERF2,ACD,TINF2,POT1,TERF2IP
SDH-mABC1-PIC-ANT-ATPase complex;Atp5a1,Slc25a3,Sdhb,Slc25a4,Abcb8,Sdha
E-box sequence-binding complex;LMO2,NHLH2,LDB1,BEX2
Sos1-Abi1-Eps8 complex;Eps8,Sos1,Abi1
CD147-gamma-secretase complex;BSG,PSEN1,NCSTN,APH1A,PSENEN
APP-APBB1-LRP1 complex;APBB1,APP,LRP1
Gamma-BAR-AP1 complex;AP1G1,AP1G2,AP1S2,AP1S1,AP1B1,AP1AR,AP1S3,AP1M1,AP1M2
CCT-Prefoldin complex;PFDN6,PFDN1,VBP1,CCT7,CCT4,TCP1,CCT6A,CCT3,CCT5,CCT2,CCT8,PFDN5,PFDN4,PFDN2
Src-dynamin-synapsin complex;Syn1,Dnm1,Src
Src-dynamin-synapsin-alpha-adaptin complex;Syn1,Ap2a2,Dnm1,Src
PBAF complex (Polybromo- and BAF containing complex);ACTL6A,SMARCA4,SMARCB1,ARID2,PBRM1,SMARCC2,SMARCC1,SMARCE1,SMARCD1
CCT complex (chaperonin containing TCP1 complex), testis specific;Tcp1,Cct8,Cct7,Cct2,Cct4,Cct5,Cct3,Cct6b
TFIIE complex;GTF2E1,GTF2E2
TFIIF complex (transcription factor IIF);GTF2F2,GTF2F1
Src1-Ep300-Crebbp complex;Crebbp,Ncoa1,Ep300
TFIID complex;TAF4,TBP,TAF1,TAF6,TAF5,TAF11,TAF12,TAF9,TAF2
Retrotranslocation complex;GEMIN4,SYVN1,DERL1
ATP synthasome;Mt-atp6,Atp5b,Mt-atp8,Atp5a1,Slc25a3,Atp5f1,Atp5j,Atp5e,Atp5i,Atp5h,Atp5d,Atp5c1,Atp5g1,Atp5g2,Atp5o,Slc25a5,Atp5g3
Condensin I-PARP-1-XRCC1 complex;SMC2,PARP1,XRCC1,NCAPH,NCAPD2,NCAPG,SMC4
Condensin II;SMC2,NCAPD3,NCAPH2,NCAPG2,SMC4
SWAP complex;Ncl,Parp1,Npm1,Swap70
COG complex;COG7,COG2,COG1,COG3,COG8,COG4,COG5,COG6
Protein-sorting complex (Stam2, Hgs, Eps15);Stam2,Eps15,Hgs
Protein-sorting complex (Stam1, Hgs, Eps15);Eps15,STAM,Hgs
Ric-8A G(i) alpha-1 subunit complex;Gnai1,Ric8a
Ric-8A G(i) alpha-2 subunit complex;Gnai2,Ric8a
Ric-8A G(o) alpha-1 subunit complex;Gnao1,Ric8a
Ric-8A G(q) alpha subunit complex;Gnaq,Ric8a
Ric-8A G alpha 13 complex;Gna13,Ric8a
OGT-TRAK1-TRAK2 complex;OGT,TRAK2,TRAK1
Respiratory chain complex I (holoenzyme), mitochondrial;NDUFS8,NDUFA4,NDUFAB1,NDUFA1,NDUFS4,NDUFB5,NDUFB3,NDUFC1,NDUFA2,NDUFS5,NDUFS7,NDUFS2,NDUFS6,NDUFB1,NDUFS3,NDUFB6,NDUFA3,NDUFB4,NDUFB8,NDUFB2,NDUFA7,NDUFC2,NDUFA10,NDUFB10,MT-ND1,MT-ND2,MT-ND3,MT-ND4L,MT-ND5,MT-ND6,NDUFB7,NDUFV2,NDUFS1,NDUFV1,NDUFA8,NDUFV3,NDUFA6,NDUFA5,NDUFA9,NDUFA11,NDUFB11,NDUFA13,NDUFA12,NDUFB9
Nephrin multiprotein complex;Iqgap1,Magi2,Sptan1,Cask,Nphs1,Sptbn1,Actn1
PNUTS-PP1 complex;PPP1CA,PPP1R10
26S proteasome;PSMA7,PSMC3,PSMB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMB4,PSMB6,PSMB5,PSMC2,PSMC4,PSMB3,PSMB2,PSMD4,PSMA6,PSMC1,PSMC5,PSMC6,PSMB7,PSMD13
Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b);Scn1a,Syt1,Scn1b
Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b);Scn1a,Syt2,Scn1b
Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b);Scn2a,Syt1,Scn1b
Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b);Scn2a,Syt2,Scn1b
Wave-2 complex;Nckap1,Cyfip1,Wasf2,Abi1
Wave-2 complex (Rac-activated);Nckap1,Cyfip1,Wasf2,Rac1,Abi1
BAF complex;ARID1A,ACTL6A,SMARCA2,SMARCB1,SMARCC2,SMARCC1,SMARCE1,SMARCD1
Mitotic checkpoint complex (MCC);BUB3,BUB1B,CDC20,MAD2L1
PA28-20S proteasome;PSMA7,PSMB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMB4,PSMB6,PSMB5,PSMB3,PSMB2,PSMA6,PSME1,PSMB7,PSME2
PA700-20S-PA28 complex;PSMD11,PSMD12,PSMD9,PSMD14,PSMA7,PSMD3,PSMD10,PSMC3,PSMB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMB4,PSMB6,PSMB5,PSMC2,PSMC4,PSMD8,PSMB3,PSMB2,PSMD7,PSMD4,PSMA6,PSMC1,PSMC5,PSMC6,PSME1,PSMD2,PSMD6,PSMD5,PSMB7,PSMD1,PSME2,PSMD13
PA28gamma-20S proteasome;PSMA7,PSMB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMB4,PSMB6,PSMB5,PSMB3,PSMB2,PSMA6,PSME3,PSMB7
Ubiquitin E3 ligase (Lrrc41, Tceb1, Tceb2, Cul5, Rbx1);Tceb2,Tceb1,Rbx1,Lrrc41,Cul5
Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul5, Rbx1);Tceb2,Tceb1,Rbx1,Vhl,Cul5
Ubiquitin E3 ligase (Tceb1, Tceb2, Tceb3, Cul5, Rbx1);Tceb2,Tceb1,Rbx1,Tceb3,Cul5
Ubiquitin E3 ligase (Socs1, Tceb1, Tceb2, Cul5, Rbx1);Tceb2,Tceb1,Rbx1,Cul5,Socs1
Ubiquitin E3 ligase (Wsb1, Tceb1, Tceb2, Cul5, Rbx1);Tceb2,Tceb1,Rbx1,Wsb1,Cul5
HUIC complex;BRCA1,BARD1
BRCA1-RAD50-MRE11-NBS1 complex;NBN,BRCA1,MRE11A,RAD50
Ubiquitin E3 ligase (Med8, Tceb1, Tceb2, Cul2, Rbx1);Cul2,Med8,Tceb2,Tceb1,Rbx1
Ubiquitin E3 ligase (Asb2, Tceb1, Tceb2, Cul5, Rbx1);Tceb2,Tceb1,Rbx1,Asb2,Cul5
Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1);VHL,RBX1,CUL2,TCEB1,TCEB2
DNA ligase IV-XRCC4 complex;LIG4,XRCC4
Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7);TCEB1,TCEB2,CUL5,ASB2,RNF7
Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7);TCEB1,TCEB2,CUL5,RNF7,ASB1
Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7);TCEB1,TCEB2,CUL5,ASB6,RNF7
Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7);TCEB1,TCEB2,CUL5,ASB7,RNF7
Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7);TCEB1,TCEB2,ASB12,CUL5,RNF7
DNA ligase III-XRCC1 complex;XRCC1,LIG3
DNA ligase IV-XRCC1 complex;XRCC1,LIG4
Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1);RBX1,TCEB1,TCEB2,CUL5,WSB1
PDZK1-NaPiIIa-MAP17 complex;Slc34a1,Pdzk1ip1,Pdzk1
CRSP complex;MED7,MED14,MED24,MED6,MED26,MED21,MED1,MED25,MED15,MED17,MED23
CAND1-CUL1-RBX1 complex;RBX1,CUL1,CAND1
ARF-Mule complex;NPM1,HUWE1,CDKN2A
CAND1-CUL2-RBX1 complex;RBX1,CUL2,CAND1
CAND1-CUL3-RBX1 complex;RBX1,CUL3,CAND1
CAND1-CUL4A-RBX1 complex;RBX1,CUL4A,CAND1
CAND1-CUL4B-RBX1 complex;RBX1,CUL4B,CAND1
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1);SKP1,SKP2,CUL1
Ubiquitin E3 ligase (SKP1A, BTRC, CUL1);SKP1,CUL1,BTRC
SMCC complex;MED14,MED24,MED6,CCNC,CDK8,MED21,MED1,MED27,MED12,MED4,MED17,MED13,THRAP3,MED16
NAT complex;MED14,MED6,CCNC,CDK8,MED21,MED10,MED23
Mediator complex;MED19,MED7,MED14,OPA1,MED24,MED6,MED26,MED21,MED22,MED1,MED27,MED13L,MED25,MED8,MED30,MED15,MED10,MED18,MED20,MED4,MED17,MED29,MED11,MED13,MED23,MED16,MED31
ARC complex;MED7,MED14,MED24,MED6,MED26,CCNC,CDK8,MED21,MED1,MED25,MED12,MED15,MED17,MED13,MED23
HuCHRAC complex;SMARCA5,POLE3,CHRAC1,BAZ1A
WICH complex;SMARCA5,BAZ1B
Ags3-Lkb1-Gnai3 complex;Gnai3,Gpsm1
SWI-SNF chromatin remodeling-related-BRCA1 complex;ARID1A,ACTL6A,BRCA1,SMARCA2,SMARCA4,SMARCB1,SMARCC2,SMARCC1,SMARCD2,SMARCE1
Sin3-Hdac1-Sds3 complex;Hdac1,Sin3b,Suds3
BRCA1-CTIP-ZBRK1 repressor complex;BRCA1,RBBP8,ZNF350
BRCA1-BACH1 complex;BRCA1,BRIP1
RalBP1-CDC2-CCNB1 complex;CDK1,CCNB1,RALBP1
BRAFT complex;FANCG,FANCA,RPA2,RPA1,RPA3,BLM,FANCC,TOP3A,FANCE,FANCF,FANCL
FA core complex (Fanconi anemia core complex);FANCG,FANCA,FANCC,FANCM,FANCB,FANCE,FANCF
BLM complex III;MLH1,BLM,TOP3A,RMI1
RalBP1-CCNB1-AP2A-NUMB-EPN1 complex;AP2A1,CCNB1,NUMB,RALBP1,EPN1
Caspase-2-TRAF2-RIP1 complex;Casp2,Traf2,Ralbp1
RAD51C-XRCC3 complex;RAD51C,XRCC3
TBPIP/HOP2-MND1 complex;MND1,PSMC3IP
Hop2-Mnd1 complex;Psmc3ip,Mnd1
RAD51B-RAD51C complex;RAD51B,RAD51C
RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex;RAD51B,RAD51C,XRCC3,XRCC2,RAD51D
RAD51L3-XRCC2 complex;XRCC2,RAD51D
ATR-ATRIP complex;ATR,ATRIP
RAD17-RFC complex;RAD17,RFC4,RFC2,RFC5,RFC3
9-1-1 complex;RAD1,HUS1,RAD9A
9-1-1-RAD17-RFC complex;RAD1,HUS1,RAD17,RFC4,RFC2,RFC5,RFC3,RAD9A
Dysbindin-pallidin-muted-beta-dystrobrevin complex;Dtnb,Bloc1s5,Dtnbp1,Bloc1s6
RFC complex;RFC4,RFC2,RFC1,RFC5,RFC3
RFC core complex;RFC4,RFC2,RFC5
HMGB1-HMGB2-HSC70-ERP60-GAPDH complex;GAPDH,HMGB1,HSPA8,HMGB2,PDIA3
NELF complex (Negative elongation factor complex);NELFE,NELFCD,NELFB,NELFA
SNF2h-cohesin-NuRD complex;RAD21,SMARCA5,MTA2,MBD3,RBBP4,CHD3,MTA1,HDAC1,SMC1A,RBBP7,STAG2,STAG1,HDAC2,BAZ1A,MBD2,SMC3
Sin3 complex;SAP18,SAP30,RBBP4,HDAC1,RBBP7,HDAC2,SIN3A
PCNA-MLH1-PMS1 complex;PCNA,MLH1,PMS1
PCNA-MSH2-MSH6 complex;PCNA,MSH2,MSH6
ARC-L complex;MED7,MED14,MED24,MED6,CCNC,CDK8,MED21,MED1,MED25,MED12,MED15,MED17,MED13,MED23
MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex;PCNA,MLH1,MSH2,PMS2
MSH2-MLH1-PMS2 DNA-repair initiation complex;MLH1,MSH2,PMS2
MutL-alpha complex;MLH1,PMS2
PCNA-DNA polymerase delta complex;PCNA,POLD1,POLD2,POLD3,POLD4
DNA polymerase delta complex;Pold2,Pold1,Pold4,Pold3
PCNA-DNA ligase complex;Pold2,Pcna,Lig1,Pold3
Pcna-Msh2-Msh6 complex;Pcna,Msh2,Msh6
VEGF transcriptional complex;APEX1,STAT3,HIF1A,CITED1
IRF3-CBP complex;IRF3,CITED1
PC2 complex;MED7,MED14,MED24,MED6,MED21,MED27,MED10,MED20,MED17,THRAP3,MED16,MED31
INO80 chromatin remodeling complex;ACTL6A,TCF3,INO80D,NFRKB,INO80C,INO80E,MCRS1,INO80B,ACTR8,ACTR5,INO80,RUVBL2,RUVBL1
SRCAP-associated chromatin remodeling complex;ZNHIT1,YEATS4,ACTL6A,H2AFZ,VPS72,SRCAP,EAF2,ACTR6,RUVBL2,RUVBL1
40S ribosomal subunit, cytoplasmic;RPS17,RPSA,RPS2,RPS3,RPS12,RPS19,RPS9,RPS5,RPS10,RPS20,RPS3A,RPS7,RPS8,RPS15A,RPS16,RPS14,RPS23,RPS18,RPS29,RPS13,RPS11,RPS4X,RPS6,RPS15,RPS24,RPS25,RPS26,RPS28,FAU,RPS27A,RPS21
Ribosome, cytoplasmic;RPLP1,RPLP2,RPLP0,RPS17,RPSA,RPS2,RPL35A,RPL7,RPL17,RPS4Y1,RPS3,RPS12,RPL13,RPL10,RPL12,RPL9, RPL9,RPL22,RPL4,RPS19,RPL3,RPL13A,RPS27,RPL35,RPL27A,RPL5,RPL21,RPL28,RPS9,RPS5,RPS10,RPL29,RPL34,RPL14,RPS20,RPS3A,RPL26,RPL15,RPL27,RPL37A,RPL37,RPS7,RPS8,RPS15A,RPS16,RPS14,RPS23,RPS18,RPS29,RPS13,RPS11,RPL7A,RPS4X,RPL23A,RPS6,RPL23,RPS15,RPS24,RPS25,RPS26,RPS28,FAU,RPL30,RPL39,RPL31,RPL10A,RPL32,RPL11,RPL8,RPL41,RPS27A,UBA52,RPL38,RPS21,RPL24,RPL36A,RPL19,RPL18A,RPL6,RPL18,RPL36
Epithelial utrophin-associated protein complex;Utrn,Dtnb,Sntb2
60S ribosomal subunit, cytoplasmic;RPLP1,RPLP2,RPLP0,RPL35A,RPL7,RPL17,RPL13,RPL10,RPL12,RPL9, RPL9,RPL22,RPL4,RPL3,RPL13A,RPL35,RPL27A,RPL5,RPL21,RPL28,RPL29,RPL34,RPL14,RPL26,RPL15,RPL27,RPL37A,RPL37,RPL7A,RPL23A,RPL23,RPL30,RPL39,RPL31,RPL10A,RPL32,RPL11,RPL8,RPL41,UBA52,RPL38,RPL24,RPL36A,RPL19,RPL18A,RPL6,RPL18,RPL36
RC complex;Prim1,POLD1,Pola1,Prim2,Rfc1,POLD2,RFC3,Rfc4,POLA2,Rfc5,Rfc2
Cell cycle kinase complex CDC2;CCNB2,CDK1,PCNA,CCNB1,CCND1,CDKN1A
Cell cycle kinase complex CDK2;PCNA,CCND1,CDK2,CDKN1A
Cell cycle kinase complex CDK4;CDK4,PCNA,CCND1,CDKN1A
Cell cycle kinase complex CDK5;PCNA,CCND1,CCND3,CDKN1A,CDK5
PCNA-p21 complex;PCNA,CDKN1A
28S ribosomal subunit, mitochondrial;MRPS22,MRPS25,MRPS10,MRPS36,MRPS11,MRPS15,MRPS16,MRPS17,MRPS18C,MRPS18B,MRPS18A,MRPS21,DAP3,MRPS2,MRPS30,MRPS31,MRPS33,MRPL42,MRPS28,MRPS34,MRPS6,MRPS5,MRPS24,MRPS23,MRPS35,MRPS27,MRPS26,MRPS7,MRPS9,MRPS14
Dystrophin associated complex DPC (Dmd, Dtnb), brain-derived;Dmd,Dtnb
Dystrobrevin-syntrophin complex, brain-derived;Dtnb,Dmd,Snta1,Dtna
Muscle-derived dystrobrevin-syntrophin complex;Snta1,Dtna
55S ribosome, mitochondrial;MRPS12,MRPS14,MRPL33,MRPL3,MRPL19,DAP3,MRPL12,MRPS22,MRPS25,MRPS10,MRPS35,MRPS5,MRPS36,MRPS11,MRPS15,MRPS21,MRPS34,MRPS6,MRPS9,LACTB,MRPL28,MRPL49,MRPL23,MRPL51,MRPL2,MRPL54,MRPL14,MRPL21,MRPL55,MRPL10,MRPL52,MRPL41,MRPL50,MRPL43,MRPL30,MRPS27,MRPS31,MRPL24,MRPL38,MRPS24,MRPL53,MRPL48,MRPL34,MRPL45,MRPL32,MRPL20,MRPL13,MRPL9,MRPL4,MRPL1,MRPS26,MRPL37,MRPL18,MRPL46,MRPL44,MRPL47,MRPS30,MRPL40,MRPL17,MRPS18A,MRPL22,MRPL16,MRPL39,MRPL35,MRPL15,MRPL36,MRPL27,MRPS33,MRPS28,MRPS17,MRPS7,MRPS2,MRPL11,MRPS16,MRPS18C,MRPS23,MRPS18B,MRPL42
p27-cyclinD2-Cdk4 complex;CDKN1B,CDK4,CCND2
DNA-PK-Ku complex;XRCC6,XRCC5,PRKDC
39S ribosomal subunit, mitochondrial;MRPL33,MRPL3,MRPL19,MRPL12,LACTB,MRPL28,MRPL49,MRPL23,MRPL51,MRPL2,MRPL54,MRPL14,MRPL21,MRPL55,MRPL10,MRPL52,MRPL41,MRPL50,MRPL43,MRPL30,MRPL24,MRPL38,MRPL53,MRPL48,MRPL34,MRPL45,MRPL32,MRPL20,MRPL13,MRPL9,MRPL4,MRPL1,MRPL37,MRPL18,MRPL46,MRPL44,MRPL47,MRPL40,MRPL17,MRPL22,MRPL16,MRPL39,MRPL35,MRPL15,MRPL36,MRPL27,MRPL11,MRPL42
Skeletal muscle sarcoglycan complex SGC, beta-gamma-delta-zeta;Sgcd,Sgcg,Sgcb,Sgcz
Smooth muscle sarcoglycan complex SGC, beta-delta-zeta;Sgcd,Sgcb,Sgcz
Ku antigen complex;XRCC6,XRCC5
PSF-p54(nrb) complex;SFPQ,NONO
Skeletal muscle sarcoglycan complex SGC, alpha-beta-epsilon-gamma;Sgce,Sgcg,Sgcb,Sgca
Skeletal muscle sarcoglycan complex SGC, epsilon-beta-gamma-delta;Sgce,Sgcd,Sgcg,Sgcb
p54(nrb)-PSF-matrin3 complex;SFPQ,MATR3,NONO
DNA ligase IV-XRCC4-AHNK complex;LIG4,AHNAK,XRCC4
Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle;Dmd,Sgcd,Sgcg,Sgcb,Sgca,Snta1
Smooth muscle dystroglycan complex;SGCD,SGCE,UTRN,SSPN,SGCB,SGCG,DAG1
Dystrophin-glycoprotein complex DGC, skeletal muscle;SGCD,Dmd,SSPN,SGCB,SGCG,DAG1,SGCA
Skeletal muscle sarcoglycan-sarcospan complex SG-SPN;SGCD,SSPN,SGCB,SGCG,SGCA
